#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
92,"Abelardo L. Rodríguez, B.C.","Abelardo L. Rodríguez o Tijuana","Península de Baja California","Baja California","125.000","121.392","115.850","76.902","98.310","17.248",22
91,"Adolfo López Mateos, Sin.","El Humaya o El Varejonal","Pacífico Norte","Sinaloa","183.480","4034.520","176.000","3086.610","158.240","1396.720",45
90,"Abraham González, Chih.","Guadalupe","Noroeste","Chihuahua","2051.300","102.891","2047.800","79.354","2044.710","60.655",76
89,"Agostitlán, Mich.","Mata De Pinos","Balsas","Michoacán","2377.840","18.754","2376.600","15.675","2372.480","7.577",48
88,"Aguamilpa Solidaridad, Nay.","Aguamilpa","Lerma-Santiago-Pacífico","Nayarit","232.000","6950.000","220.000","5540.000","204.250","4032.810",73
87,"Andrés Figueroa, Gro.","Las Garzas","Balsas","Guerrero","382.610","123.100","377.000","102.500","355.740","32.680",32
86,"Achimec, Jal.","Vaqueros","Lerma-Santiago-Pacífico","Jalisco","1844.270","12.212","1841.500","7.364","1838.890","4.186",57
85,"Abelardo L. Rodríguez., Ags.","Abelardo L. Rodríguez","Lerma-Santiago-Pacífico","Aguascalientes","1890.000","18.840","1888.900","15.990","1887.250","12.390",78
84,"La Esperanza, Hgo.","La Esperanza","Golfo Norte","Hidalgo","2209.600","4.200","2207.700","3.920","2206.880","3.571",91
83,"Ángel Albino Corzo, Chis.","Peñitas","Frontera Sur","Chiapas","93.000","1448.430","87.400","1091.100","85.970","1013.560",93
82,"Plutarco Elías Calles, Son.","El Novillo","Noroeste","Sonora","296.800","3443.500","290.500","2833.070","285.140","2306.860",81
81,"Plutarco Elías Calles, Ags.","Calles","Lerma-Santiago-Pacífico","Aguascalientes","2022.000","407.438","2020.000","358.121","2012.880","217.196",61
80,"Palomas, Zac.","Palomas","Lerma-Santiago-Pacífico","Zacatecas","1907.480","8.749","1904.250","4.611","1903.210","3.574",78
79,"Peña del Águila, Dgo.","Peña del Águila","Pacífico Norte","Durango","1895.270","54.721","1892.500","27.948","1891.650","22.213",80
78,"Pico del Águila, Chih.","Pico del Águila","Río Bravo","Chihuahua","1619.000","62.020","1616.900","51.106","1608.500","17.820",35
77,"Necaxa, Pue.","Necaxa","Golfo Centro","Puebla","1344.000","43.000","1338.000","29.055","1327.300","11.441",39
76,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán","Golfo Norte","Hidalgo","1563.000","1460.110","1560.000","1390.110","1549.850","1153.560",83
75,"Zicuirán, Mich.","La Peña","Balsas","Michoacán","301.440","47.485","299.000","36.294","291.540","12.926",36
74,"Villa Victoria, Méx.","Villa Victoria","Balsas","México","2607.500","252.030","2605.500","185.723","2603.390","127.897",69
73,"Valerio Trujano, Gro.","Tepecoacuilco","Balsas","Guerrero","842.780","51.650","840.000","31.014","835.100","10.419",34
72,"La Venta, Qro.","La Venta","Golfo Norte","Querétaro","1907.680","3.777","1906.680","2.479","1904.470","0.198",8
71,"José María Morelos, Zac.","La Villita","Lerma-Santiago-Pacífico","Zacatecas","1831.190","11.165","1829.000","9.018","1825.280","6.186",69
70,"José María Morelos y Pavón, Mich.","La Villita","Balsas","Michoacán","56.730","714.593","51.200","531.414","49.900","497.200",94
69,"Villa Hidalgo, Dgo.","Villa Hidalgo","Cuencas Centrales del Norte","Durango","1729.550","39.555","1726.230","23.080","1722.440","10.730",47
68,"Vicente Guerrero, Tamps.","Las Adjuntas","Golfo Norte","Tamaulipas","144.040","5498.230","140.440","3910.690","138.510","3195.010",82
67,"Vicente Guerrero, Gro.","Palos Altos","Balsas","Guerrero","430.300","300.000","425.000","249.490","413.230","129.465",52
66,"Ing. Santiago Camarena, Jal.","La Vega","Lerma-Santiago-Pacífico","Jalisco","1258.860","80.000","1257.000","44.035","1256.120","29.211",66
65,"Vicente C. Villaseñor, Jal.","Valle de Juárez","Lerma-Santiago-Pacífico","Jalisco","1878.000","18.120","1877.000","14.440","1875.810","10.234",71
64,"Venustiano Carranza, Coah.","Don Martín","Río Bravo","Coahuila de Zaragoza","261.800","1322.370","259.240","874.100","258.100","706.237",81
63,"Francisco I. Madero, Chih.","Las Vírgenes","Río Bravo","Chihuahua","1242.560","477.622","1239.300","355.286","1237.510","296.105",83
62,"Miguel Alemán, Zac.","Excamé","Lerma-Santiago-Pacífico","Zacatecas","1704.500","70.920","1703.480","64.980","1694.300","24.598",38
61,"El Estribón, Jal.","El Estribón","Lerma-Santiago-Pacífico","Jalisco","1881.410","7.740","1880.000","6.378","1874.140","2.645",42
60,"El Salto, Jal.","El Salto","Lerma-Santiago-Pacífico","Jalisco","1812.500","112.000","1810.160","85.000","1809.280","77.497",91
59,"Ing. Luis L. León, Chih.","El Granero","Río Bravo","Chihuahua","1050.500","832.409","1034.800","292.465","1030.550","205.174",70
58,"Tacotán, Jal.","Tacotán","Lerma-Santiago-Pacífico","Jalisco","1406.290","169.000","1403.060","149.239","1395.060","113.038",76
57,"Ing. Julián Adame Alatorre, Zac.","Tayahua","Lerma-Santiago-Pacífico","Zacatecas","1701.410","50.377","1696.010","31.598","1689.550","16.265",52
56,"Santa Rosa, Zac.","Santa Rosa","Cuencas Centrales del Norte","Zacatecas","2249.640","14.041","2248.640","10.476","2247.820","7.877",75
55,"Santa Rosa, Jal.","Santa Rosa","Lerma-Santiago-Pacífico","Jalisco","748.000","258.468","744.000","219.090","737.740","313.760",143
54,"La Soledad, Pue.","Apulco o Mazatepec","Golfo Centro","Puebla","805.000","14.978","804.500","13.895","799.760","6.057",44
53,"Sanalona, Sin.","Sanalona","Pacífico Norte","Sinaloa","162.170","987.522","156.200","687.988","138.880","158.080",23
52,"San José, S.L.P.","San José","Cuencas Centrales del Norte","San Luis Potosí","1955.140","5.140","1953.780","5.140","1944.890","0.666",13
51,"San Miguel, Coah.","San Miguel","Río Bravo","Coahuila de Zaragoza","341.960","22.193","341.740","21.168","341.270","19.061",90
50,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo","Golfo Norte","Tamaulipas","123.900","272.000","122.950","230.780","119.980","167.652",73
